1		9		0		10		
2		4		0		10		
3		16		2		2		
4		11		3		10		
5		5		6		5		
6		3		6		4		
7		9		7		3		
8		13		9		7		
9		8		14		9		
10		15		14		6		
11		17		18		1		
12		12		20		10		
13		15		22		2		
14		18		25		2		
15		11		25		7		
16		17		29		4		
17		10		29		7		
18		11		33		4		
19		3		36		6		
20		3		38		1		
21		11		46		9		
22		4		51		8		
23		14		53		9		
24		4		53		8		
25		16		54		8		
26		15		55		1		
27		13		55		1		
28		19		58		7		
29		2		60		8		
30		19		61		3		
31		4		64		4		
32		16		64		2		
33		7		67		8		
34		5		71		3		
35		7		71		10		
36		8		71		4		
37		11		71		7		
38		12		72		2		
39		8		72		3		
40		20		75		2		
41		4		78		3		
42		19		80		2		
43		1		80		5		
44		8		80		6		
45		12		80		1		
46		9		81		3		
47		11		81		10		
48		4		81		2		
49		11		81		9		
50		11		84		1		
